src,winner,loser
"Около 11:29 протестующие двинулись вверх по Уайтхолл, мимо Трафальгарской площади, вдоль Стрэнда, мимо Олдвича и вверх по Кингсуэй в сторону района Холборн, где Консервативная партия проводила свой Весенний форум в гостинице Grand Connaught Rooms.","At around 11:29 the protesters moved up Whitehall, past Trafalgar Square, along The Strand, past Aldwych and up Kingsway towards Holborn, where the Conservative Party was holding its Spring Forum at the Grand Connaught Rooms hotel.","Around 11:29 the protesters moved up Whitehall, past Trafalgar Square, along the Strand, past Aldwych and up Kingsway towards the Holborn district, where the Conservative Party was holding its Spring Forum at the Grand Connaught Rooms hotel."
Рекорд Надала в схватках один на один с канадцем —  7–2.,Nadal's record in one-on-one encounters with the Canadian is 7–2.,Nadal's record against the Canadian is 7–2.
Недавно он проиграл Раоничу на турнире в Брисбене.,He recently lost to Raonic at the tournament in Brisbane.,"Recently, he lost to Raonic at the tournament in Brisbane."
"Надал набрал 88% всех очков в матче, выиграв 76 очков  в первой подаче.","Nadal won 88% of all points in the match, taking 76 points on the first serve.","Nadal won 88% of all points in the match, winning 76 points in the first serve."
"После матча ""Король грунта"" сказал: ""Я так рад, что вернусь в финальные раунды самых важных мероприятий. Я здесь, чтобы попытаться выиграть"".","After the match, the ""King of Clay"" said: ""I am so happy to be back in the final rounds of the most important events. I am here to try to win.""","After the match, the King of the Ground said: ""I'm so happy to be back in the final rounds of the biggest events. I'm here to try and win."""
"""Панамские документы"" — это собирательное название приблизительно десяти миллионов документов панамской юридической фирмы Mossack Fonseca, просочившихся в прессу весной 2016 г.",The Panama Papers are a collection of approximately 10 million documents from the Panamanian law firm Mossack Fonseca that were leaked to the press in spring 2016.,"""The Panama Papers"" is the collective name for approximately ten million documents from the Panamanian law firm Mossack Fonseca, which were leaked to the press in the spring of 2016."
"Документы показали, что четырнадцать банков помогли состоятельным клиентам спрятать миллиарды долларов США, чтобы избежать уплаты налогов и выполнения прочих нормативных требований.",Documents showed 14 banks helped wealthy clients hide billions of dollars to avoid paying taxes and complying with other regulations.,The documents showed that fourteen banks helped affluent clients hide billions of US dollars to avoid paying taxes and complying with other regulatory requirements.
"Британская газета The Guardian  предположила, что Deutsche Bank контролировал примерно треть из 1200 подставных компаний, использованных для этой цели.","The British newspaper The Guardian speculated that Deutsche Bank controlled about a third of the 1,200 shell companies used for this purpose.",The British newspaper The Guardian suggested that Deutsche Bank controlled about a third of the 1200 shell companies used for that purpose.
"По всему миру происходили протесты, было несколько уголовных преследований, а главы правительств Исландии и Пакистана ушли в отставку.","Protests were held around the world, there were several criminal prosecutions, and the prime ministers of Iceland and Pakistan resigned.","Around the world, there were protests, there were several criminal prosecutions, and the heads of government of Iceland and Pakistan resigned."
"Ма родился в Гонконге, учился в Нью-Йоркском университете и Гарвардской юридической школе. Он также когда-то имел постоянный вид на жительство в Америке (""грин-карту"").","Ma was born in Hong Kong, studied at New York University and Harvard Law School. He also once had permanent residency in the United States (""green card"").","Ma was born in Hong Kong, studied at New York University and Harvard Law School. He also once had permanent residency in America (""green card"")."
"Во время проведения выборов Се намекал, что Ма может покинуть страну в случае кризиса.","During the election, Xi hinted that Ma could leave the country in the event of a crisis.","During the elections, Se hinted that Ma might leave the country in the event of a crisis."
"Се также утверждал, что фотогеничный Ма больше выделялся внешностью, чем харизмой.",It was also claimed that the photogenic Ma stood out more for his appearance than for his charisma.,Say also claimed that the photogenic Ma stood out more for his looks than his charisma.
"Несмотря на эти обвинения, Ма легко победил, выступая за более тесные связи с материковой частью Китая.","Despite the accusations, Ma easily won, advocating for closer ties with the mainland.","Despite these accusations, Ma easily won by advocating for closer ties with mainland China."
Сегодняшний игрок дня — Алекс Овечкин из Washington Capitals.,Today's player of the day is Alex Ovechkin of the Washington Capitals.,Today's Player of the Day is Alex Ovechkin from the Washington Capitals.
"У него было 2 гола и 2 передачи в матче футбольного клуба ""Вашингтон"" против ""Атланта Трэшерз"", в котором первый одержал победу со счётом 5-3.",He had 2 goals and 2 assists in the Washington Football Club's 5-3 win over the Atlanta Thrashers.,"He scored 2 goals and made 2 assists in the football club ""Washington"" match against ""Atlanta Thrashers,"" in which the former won with a score of 5-3."
"Первая голевая передача Овечкина в тот вечер принесла команде победный гол, выполненный новичком Никласом Бекстрёмом;","Ovechkin's first assist that evening brought the team the winning goal, scored by rookie Nicklas Backstrom;",Ovechkin's first assist of the night set up the game-winning goal by rookie Nicklas Backstrom;
"Его второй целью в этот вечер был его 60-й гол в сезоне, в результате чего он становился первым игроком забившим 60 или больше голов в сезоне с 1995-96 гг., когда Джаромир Джагр  и Марио Лемьо оба добились этого достижения.","His second goal of the night was his 60th of the season, making him the first player to score 60 or more goals in a season since 1995-96 when Jaromir Jagr and Mario Lemieux both achieved this feat.","His second goal of the night was his 60th of the season, making him the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux both accomplished the feat."
"Баттен занял 190-е место в списке 400 богатейших американцев в 2008 году, его состояние оценивалось в 2,3 миллиарда долларов США.","Batten ranked 190th on the list of the 400 richest Americans in 2008, with a net worth estimated at 2.3 billion US dollars.","Battelle was ranked 190th on the Forbes 400 list in 2008, with an estimated net worth of $2.3 billion."
Он окончил колледж искусств и наук Виргинского университета в 1950 году и был важным спонсором этого учреждения.,He graduated from the College of Arts and Sciences at the University of Virginia in 1950 and was a major benefactor of the institution.,He graduated from the Virginia University College of Arts and Sciences in 1950 and was a significant sponsor of this institution.
Иракская тюрьма Абу-Грейб была подожжена во время бунта.,The Iraqi prison of Abu Ghraib was set on fire during a riot.,The Iraqi prison Abu Ghraib was set on fire during a riot.
"Тюрьма получила скандальную известность после раскрытия издевательств над заключенными, происходивших в ней, когда она перешла под контроль американских военных.",The prison gained notoriety after revelations of abuse of inmates when it was under U.S. military control.,The prison gained notorious fame after the revelation of the abuse of inmates that occurred there when it came under American military control.
"Пике-младший попал в аварию на Гран-при Сингапура в 2008 году сразу после раннего пит-стопа Фернандо Алонсо, после чего пришлось задействовать машину безопасности.","Piquet Jr. crashed at the Singapore Grand Prix in 2008 just after Fernando Alonso's early pit stop, which resulted in the deployment of the safety car.","Piquet Jr. crashed in the 2008 Singapore Grand Prix immediately after an early pit stop by Fernando Alonso, necessitating the deployment of the safety car."
"Когда машины впереди Алонсо отправились за топливом под машину безопасности, он двинулся вверх, чтобы взять победу.","When the cars in front of Alonso went in for their pit stops under the safety car, he moved up to take the win.","When the cars ahead of Alonso went in for fuel under the safety car, he moved up to take the victory."
Пике-младший не был допущен к гонкам после Гран-при Венгрии 2009 года.,Piquet Jr. was not allowed to race after the 2009 Hungarian Grand Prix.,Piquet Jr. was banned from racing after the 2009 Hungarian Grand Prix.
"Ровно в 08:46 весь город замер, обозначив тот самый момент, когда первый самолёт ударил по цели.","At exactly 08:46 the whole city froze, marking the moment when the first plane hit its target.","At exactly 08:46, the whole city fell silent, marking the very moment when the first airplane struck its target."
"Были установлены два источника света, лучи от которых были направлены в ночное небо.","Two light sources were set up, the beams of which were aimed at the night sky.","Two sources of light were set up, the beams from which were directed into the night sky."
На этом месте ведется стройка пяти новых небоскрёбов с транспортным центром и мемориальным парком посередине.,Construction is underway on five new skyscrapers with a transportation hub and memorial park in the middle.,Construction of five new skyscrapers with a transportation hub and a memorial park in the middle is underway at this site.
"У этого сериала PBS более двух дюжин наград ""Эмми"", и по продолжительности он уступает только ""Улице Сезам"" и ""Окрестностям дома мистера Роджерса"".","The PBS series has more than two dozen Emmy awards, and it trails only ""Sesame Street"" and ""Mister Rogers' Neighborhood"" in longevity.","This PBS series has more than two dozen Emmy awards, and in terms of duration, it is only surpassed by ""Sesame Street"" and ""Mister Rogers' Neighborhood."""
Каждый эпизод шоу будет посвящен теме в определенной книге и потом станет исследовать эту тему с помощью разнообразных историй.,Each episode of the show will be dedicated to a theme in a particular book and then explore that theme through a variety of stories.,Each episode of the show will be dedicated to a theme in a specific book and then will explore this theme through a variety of stories.
"Каждое шоу также даст рекомендацию по поводу книги, которую стоит искать детям, когда они пойдут в библиотеку.",Each show will also provide a recommendation for a book that children should look for when they go to the library.,Each show will also recommend a book for children to look for when they go to the library.
"Джон Грант с канала WNED Buffalo (где показывают Reading Rainbow) сказал: ""Шоу Reading Rainbow показало детям, зачем нужно читать, ... привило любовь к чтению — [оно] побудило детей взять книгу в руки и прочитать ее"".","John Grant of WNED Buffalo (where Reading Rainbow aired) said, ""Reading Rainbow showed kids why reading is important ... it made kids pick up a book and read it.""","John Grant from WNED Buffalo (where Reading Rainbow is shown) said: ""The Reading Rainbow show taught children why they need to read, ... instilled a love of reading — [it] encouraged children to pick up a book and read it""."
"Некоторые, включая Джона Гранта, считают, что к завершению сериала привели одновременно и нехватка финансирования, и смена концепции образовательных ТВ-программ.","Some, including John Grant, believe that the end of the series was brought about by both a lack of funding and a change in the concept of educational TV programming.","Some, including John Grant, believe that the conclusion of the series was due to both a lack of funding and a change in the concept of educational TV programs."
"Синоптики говорят, что шторм, находящийся примерно в 645 милях (1040 км) к западу от островов Кабо-Верде, скорее всего, закончится до того, как сможет стать угрозой каким-либо участкам суши.","Meteorologists say that the storm, located about 645 miles (1040 km) west of the Cape Verde Islands, is likely to end before it can become a threat to any land areas.","The storm, about 645 miles (1040 km) west of the Cape Verde Islands, is expected to dissipate before it can threaten any land areas."
"Скорость ветра урагана Фред в настоящее время 105 миль в час (165 км/ч), и он движется в направление северо-запада.","Hurricane Fred is currently at a wind speed of 105 miles per hour (165 km/h), and it is moving in a northwesterly direction.",Tropical Storm Fred is currently moving northwestward with maximum sustained winds of 105 mph (165 km/h).
"Фред является самым сильным тропическим циклоном, когда-либо зарегистрированным так далеко на юге и востоке в Атлантическом океане со времен появления спутниковой съемки, и всего лишь третьим крупным ураганом к востоку от 35 градусов з. ш. за всё время наблюдений.","Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic Ocean since satellite imagery became available, and only the third major hurricane east of 35 degrees north since record keeping began.","Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic Ocean since satellite imagery began, and only the third major hurricane east of 35 degrees west longitude in the entire observation history."
24 сентября 1759 года Артур Гиннесс подписал контракт на 9000 лет аренды пивоварни St James' Gate Brewery в ирландском Дублине.,"On September 24, 1759, Arthur Guinness signed a 9,000-year lease for the St James' Gate Brewery in Dublin, Ireland.","On September 24, 1759, Arthur Guinness signed a 9,000-year lease on the St James' Gate Brewery in Dublin, Ireland."
"250 лет спустя ""Гиннесс"" превратился в глобальную компанию с ежегодным оборотом свыше 10 миллиардов евро (14,7 миллиардов долларов США).","250 years later, Guinness has become a global company with annual sales of more than 10 billion euros ($14.7 billion).","250 years later, Guinness has transformed into a global company with an annual turnover of more than 10 billion euros (14.7 billion US dollars)."
"Штурман команды из Новой Зеландии A1GP Джонни Рид сегодня вошел в историю, проехав по официальным данным быстрее всех по 48-летнему мосту Окленд Харбор Бридж в Новой Зеландии.","New Zealand A1GP team navigator Johnny Reid made history today by becoming the fastest to cross the 48-year-old Auckland Harbor Bridge in New Zealand, according to official data.",New Zealand A1GP team co-pilot Johnny Reid made history today by becoming the first person to officially drive faster than 48-year-old Auckland Harbour Bridge in New Zealand.
"Мистеру Риду удалось проехать на новозеландском автомобиле Black Beauty, участвовавшем в ""А1 Гран-при"", со скоростью более 160 км/ч семь раз по мосту.","Mr. Reid managed to drive the New Zealand car Black Beauty, which participated in the ""A1 Grand Prix"", at a speed of over 160 km/h across the bridge seven times.","Mr Reid managed to drive the New Zealand car Black Beauty, which took part in the A1 Grand Prix, at speeds of more than 160 km/h seven times across the bridge."
"У новозеландской полиции были трудности с радарами для замера скорости и определением того, как быстро ехал мистер Рид из-за того, что Black Beauty довольно низкая, и единственный раз, когда полиции удалось засечь мистера Рида, это было тогда, когда он сбавил скорость до 160 км/ч.","The New Zealand police had difficulties with speed radars and determining how fast Mr. Reid was going because Black Beauty is quite low, and the only time the police managed to catch Mr. Reid was when he slowed down to 160 km/h.","New Zealand police had difficulties with speed radars and determining how fast Mr Reid was going because Black Beauty is quite low, and the only time police were able to clock Mr Reid was when he slowed down to 160km/h."
За последние 3 месяца более 80 арестованных были освобождены из центра предварительного заключения без предъявления им официальных обвинений.,More than 80 detainees have been released from pre-trial detention centers in the past three months without being formally charged.,"Over the last 3 months, more than 80 detainees have been released from the pre-trial detention center without any official charges being brought against them."
"В апреле этого года судья Глинн издал судебный запрет в отношении данного учреждения, чтобы освободить тех, кто содержался в неволе более 24 часов после их поступления в тюрьму, и у которых не были проведены слушания у уполномоченного суда.","In April of this year, Judge Glynn issued a judicial injunction against the institution in question to release those who were held in captivity for more than 24 hours after their admission to the prison and had not had hearings at a competent court.",In April this year Judge Glynn issued an injunction against the facility to release those who had been held in custody for more than 24 hours after their arrival at the jail and who had not been seen by a judge.
"Комиссар полиции устанавливает залог (на случай его внесения) и формализует обвинения, выдвинутые офицером, который выполнил арест. После этого обвинения заносятся в компьютерную систему штата, в которой ведется дело задержанного.",The police commissioner sets bail (if any) and formalizes the charges brought by the officer who made the arrest. The charges are then entered into the state's computerized case file for the person who was arrested.,"The police commissioner sets bail (in the event that it is posted) and formalizes the charges brought by the officer who made the arrest. After that, the charges are entered into the state's computer system, which keeps the record of the detainee."
"На слушании также назначается срок, в течение которого должно быть соблюдено право подозреваемого на безотлагательное судебное разбирательство.","At the hearing, a deadline is also set within which the suspect's right to a prompt judicial hearing must be observed.","At the hearing, a timeframe is also set for the suspect's right to a speedy trial."
"Питер Костелло, казначей Австралии и человек, который, скорее всего, станет преемником Премьер-министра Джона Ховарда на посту лидера Либеральной партии, выразыл свою поддержку атомной энергетике Австралии.","Peter Costello, Australia's Treasurer and the man most likely to succeed Prime Minister John Howard as leader of the Liberal Party, has expressed his support for the Australian nuclear industry.","Peter Costello, Treasurer of Australia and the person who is most likely to succeed Prime Minister John Howard as leader of the Liberal Party, expressed his support for Australia's nuclear energy."
"Г-н Костелло заявил, что, когда ядерная энергетика станет экономически жизнеспособной, Австралия должна будет стремиться к её использованию.","Mr. Costello stated that when nuclear power becomes economically viable, Australia should aim to utilize it.","Mr Costello said that when nuclear energy becomes economically viable, Australia should aim to use it."
"""Если это станет коммерчески привлекательным, оно должно быть у нас. То есть нет никаких принципиальных возражений против атомной энергетики"", — сказал г-н Костелло.","""If it becomes commercially attractive, we should have it. That is, there are no fundamental objections to nuclear power,"" Mr. Costello said.","If it becomes commercially viable, it should be here. So there are no fundamental objections to nuclear energy,"" Mr Costello said."
"По сообщению информационного агентства ANSA, ""полиция была обеспокоена парой заказных убийств высокопоставленных лиц, что, по мнению органов правопорядка, могло способствовать развязке полномасштабной войны за преемственность.","Police were concerned about a pair of contract killings of high-ranking figures, which authorities believed could have contributed to the outbreak of a full-scale war over succession, ANSA reported.","According to the ANSA news agency, ""the police were alarmed by a pair of contract killings of high-ranking individuals, which, in the opinion of law enforcement, could contribute to the unleashing of a full-scale war for succession."
"Полиция сказала, что Ло Пикколо был во главе, потому что он был правой рукой Провенцано в Палермо, и его больший опыт завоевал ему уважение старшего поколения боссов, поскольку они придерживались политики Провенцано, направленной на то, чтобы как можно меньше давать о себе знать и одновременно укреплять сеть своей власти.","Police said Lo Piccolo was in charge because he was the right-hand man to Provenzano in Palermo, and his greater experience earned him the respect of the older generation of bosses, who followed Provenzano's policy of trying to keep a low profile while consolidating his power base.","The police said that Lo Piccolo was head because he was Provenzano's right hand in Palermo, and his greater experience earned him the respect of the older generation of bosses, as they adhered to Provenzano's policy of keeping as low profile as possible while simultaneously strengthening their power network."
"Эти боссы были усмирены Провензано, когда он положил конец войне с государством, начатой Рииной, в результате которой в 1992 году погибли крестоносцы мафии Джованни Фальконе и Паоло Борсельино.","These bosses were tamed by Provenzano when he ended the war with the state initiated by Riina, which resulted in the deaths of mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.","These bosses were tamed by Provenzano when he ended the war with the state started by Riina, which resulted in the deaths of mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992."
"Когда гендиректор компании Apple Стив Джобс презентовал iPhone, он вышел на сцену и вынул его из кармана джинсов.","When Apple CEO Steve Jobs introduced the iPhone, he stepped onto the stage and pulled it out of his jeans pocket.","When Apple CEO Steve Jobs presented the iPhone, he walked on stage and pulled it out of his jeans pocket."
"Во время своего двухчасового выступления он заявил: ""Сегодня Apple собирается переосмыслить свой телефон. Мы войдём сегодня в историю.""","During his two-hour presentation, he said: ""Today Apple is going to reinvent the phone. We're going to enter the history books.""","During his two-hour presentation, he stated: ""Today Apple is going to rethink its phone. We will make history today."""
"Бразилия является крупнейшей римско-католической страной в мире, и Римско-католическая церковь неизменно выступала против легализации однополых браков в стране.","Brazil is the largest Roman Catholic country in the world, and the Roman Catholic Church has consistently been against the legalization of same-sex marriages in the country.","Brazil is the world's largest Roman Catholic country, and the Roman Catholic Church has consistently opposed legalizing same-sex marriages in the country."
"Бразильский Национальный конгресс десять лет обсуждал легализацию  подобных гражданских браков, и теперь они допускаются по закону исключительно в Риу-Гранди-ду-Сул.","The Brazilian National Congress discussed the legalization of such civil unions for ten years, and now they are permitted by law exclusively in Rio Grande do Sul.","The Brazilian National Congress has been discussing the legalization of similar civil unions for ten years, and now they are allowed by law exclusively in Rio Grande do Sul."
Оригинальный законопроект был разработан бывшим мэром Сан-Паулу Мартой Суплиси. Предлагаемый законопроект с внесёнными в него поправками теперь находится в руках Роберто Джефферсона.,"The original bill was developed by the former Mayor of São Paulo, Marta Suplicy. The proposed bill, with amendments made to it, is now in the hands of Roberto Jefferson.","The original bill was drafted by former mayor of Sao Paulo, Marta Suplicy. The proposed bill with the amendments is now in the hands of Roberto Jefferson."
"Цель протестующих — собрать 1,2 миллиона подписей под петицией, чтобы представить ее Национальному конгрессу в ноябре.",The goal of the protesters is to collect 1.2 million signatures on the petition to present it to the National Congress in November.,The goal of the protesters is to gather 1.2 million signatures for the petition to present it to the National Congress in November.
"Когда стало ясно, что многие семьи хотели получить правовую помощь, чтобы защититься от выселения, 20 марта в Общественном юридическом центре Ист-Бэй была проведена встреча для жертв жилищного мошенничества.","When it became clear that many families wanted legal help to fight eviction, a meeting for victims of housing fraud was held at the East Bay Community Law Center on March 20.","When it became clear that many families wanted to get legal assistance to protect themselves from eviction, a meeting for victims of housing fraud was held on March 20 at the East Bay Community Law Center."
"Когда жильцы начали рассказывать, что с ними произошло, большинство участвовавших семей вдруг поняли, что Кэролин Уилсон из OHA украла их гарантийные взносы и сбежала из города.","When the tenants started telling their stories, most of the families participating in the meeting suddenly realized that Carolyn Wilson from OHA had stolen their security deposits and fled the city.","When the residents began to share what had happened to them, most of the families involved suddenly realized that Caroline Wilson from OHA had stolen their security deposits and fled the town."
"Жильцы Lockwood Gardens считают, что может быть ещё 40 или больше семей, возможно, столкнуться выселением, так как они узнали, что полиция оклендской жилищной администрации также расследует другие объекты общественного жилья в Окленде, которые могут быть вовлечены в мошенничество с недвижимостью.",Residents of Lockwood Gardens believe that there could be 40 or more families potentially facing eviction as they learned that the Oakland Housing Authority police are also investigating other public housing properties in Oakland that may be involved in real estate fraud.,Lockwood Gardens residents believe there may be 40 or more families facing eviction as they have learned that the Oakland Housing Authority police are also investigating other public housing in Oakland that may be involved in real estate fraud.
"Группа отменила выступление на Военном мемориальном стадионе на острове Мауи, на котором должны были быть 9 000 человек, и принесла извинения фанатам.","The band canceled the performance at the War Memorial Stadium on Maui, which was supposed to have 9,000 people, and apologized to the fans.","The group cancelled a concert at the Maui War Memorial Stadium, which was to have 9,000 people, and apologized to fans."
"Изначально 20 сентября компания HK Management Inc., которая работает с группой, не дала никаких пояснений, а на следующий день объявила, что выступление отменяется по причинам, связанным с логистикой.","Initially, on September 20, HK Management Inc., which works with the group, gave no explanation, only to announce the next day that the performance was canceled due to logistical reasons.","Initially, on September 20th, HK Management Inc., which works with the group, did not provide any explanations, and the following day announced that the performance was being canceled due to logistics-related reasons."
"Знаменитые греческие юристы Сакис Кечагиоглоу и Георг Николакопулос были заключены в афинскую тюрьму Коридаллос, потому что они были признаны виновными во взяточничестве и коррупции.",Famous Greek lawyers Sakis Kechagias and Georgios Nikolakopoulos were incarcerated in the Korydallos Prison in Athens after being found guilty of bribery and corruption.,Famous Greek lawyers Sakis Kechagioglou and George Nikolakopoulos were jailed in Athens' Korydallos prison after being convicted of bribery and corruption.
"В результате этого в юридическом сообществе Греции разразился большой скандал вследствие разоблачения незаконных действий, совершённых судьями, юристами, солиситорами и адвокатами за прошлые годы.","As a result, a major scandal erupted in the legal community of Greece following the exposure of illegal actions committed by judges, lawyers, solicitors, and attorneys over the past years.","As a result, a major scandal has erupted in the Greek legal community following the exposure of illegal actions committed by judges, lawyers, solicitors and attorneys over the past years."
"Несколькими неделями ранее, после того как журналист Макис Триантафилопулос обнародовал информацию в своем популярном ТВ-шоу Zoungla на канале Alpha TV, член парламента и юрист Петрос Мантувалос сложил полномочия, так как сотрудники его аппарата были вовлечены во взяточничество и коррупцию.","A few weeks earlier, after journalist Makis Triantafilopoulos revealed information on his popular TV show Zoungla on Alpha TV, member of parliament and lawyer Petros Mantouvalos resigned, as staff from his office were involved in bribery and corruption.","A few weeks earlier, after journalist Makis Triantafyllou published information in his popular TV show Zoungla on Alpha TV, MP and lawyer Petros Mantouvalos resigned, as his staff were involved in bribery and corruption."
"Кроме того, верховный судья Эвангелос Калусис находится в тюрьме за то, что он признан виновным в коррупции и за извращенное поведение.","In addition, Supreme Court Justice Evangelos Kalouzis is in jail after being convicted of corruption and misconduct.","Additionally, Supreme Court Justice Evangelos Kalousis is in prison for being convicted of corruption and for perverse conduct."
"Робертс наотрез отказался говорить, когда, по его мнению, зарождается жизнь, что является важным вопросом при рассмотрении этической проблемы абортов, заявив, что было бы неэтично высказываться насчёт возможной специфики случаев.","Roberts refused to say when, in his view, life begins, an important question in the ethical debate over abortion, saying it would be inappropriate to speculate on the possible specifics of individual cases.","Roberts flatly refused to say when he believes life begins, which is an important question when considering the ethical issue of abortion, stating that it would be unethical to comment on the potential specifics of cases."
"Однако он всё-таки повторил сделанное им ранее заявление о том, что дело ""Роу против Уэйда"" является ""урегулированным законом этой земли"", подчёркивая важность последовательных решений Верховного суда.","However, he reiterated the statement he had made earlier that Roe v. Wade is ""settled law of this land,"" underscoring the importance of the Supreme Court's consistent decisions.","But he did repeat his earlier statement that the Roe v. Wade case is ""settled law of the land,"" underscoring the importance of consistent Supreme Court decisions."
